feature,factor_name,importance,feature_set,feature_set_name,model,model_name
A43,AlphaEarth embedding band A43,0.007358631899805408,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A28,AlphaEarth embedding band A28,0.0070985646198933276,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A32,AlphaEarth embedding band A32,0.006629994905098173,alphaearth_only,AlphaEarth Embeddings,extra_trees,Extra Trees
A16,AlphaEarth embedding band A16,0.1089530661702156,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A55,AlphaEarth embedding band A55,0.07200745493173599,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A44,AlphaEarth embedding band A44,0.05409204214811325,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A24,AlphaEarth embedding band A24,0.036321524530649185,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A15,AlphaEarth embedding band A15,0.033614110201597214,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A02,AlphaEarth embedding band A02,0.03090030886232853,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A60,AlphaEarth embedding band A60,0.02677520178258419,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A45,AlphaEarth embedding band A45,0.025040827691555023,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A58,AlphaEarth embedding band A58,0.023067036643624306,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A29,AlphaEarth embedding band A29,0.020755942910909653,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A38,AlphaEarth embedding band A38,0.0200244951993227,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A46,AlphaEarth embedding band A46,0.01985355094075203,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A34,AlphaEarth embedding band A34,0.018298838287591934,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A08,AlphaEarth embedding band A08,0.017147691920399666,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A17,AlphaEarth embedding band A17,0.014595461077988148,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A21,AlphaEarth embedding band A21,0.01454232633113861,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A20,AlphaEarth embedding band A20,0.014353246428072453,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A19,AlphaEarth embedding band A19,0.014208539389073849,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A25,AlphaEarth embedding band A25,0.01342043187469244,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A42,AlphaEarth embedding band A42,0.013387843035161495,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A51,AlphaEarth embedding band A51,0.013124550692737103,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A47,AlphaEarth embedding band A47,0.01287053246051073,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A48,AlphaEarth embedding band A48,0.012831619940698147,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A26,AlphaEarth embedding band A26,0.012730072252452374,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A61,AlphaEarth embedding band A61,0.01257417257875204,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A11,AlphaEarth embedding band A11,0.012522503733634949,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A09,AlphaEarth embedding band A09,0.012466691434383392,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A18,AlphaEarth embedding band A18,0.012415921315550804,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A39,AlphaEarth embedding band A39,0.012357029132544994,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A05,AlphaEarth embedding band A05,0.011956723406910896,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A03,AlphaEarth embedding band A03,0.01153256744146347,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A01,AlphaEarth embedding band A01,0.011373327113687992,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A14,AlphaEarth embedding band A14,0.010812399908900261,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A50,AlphaEarth embedding band A50,0.010674785822629929,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A13,AlphaEarth embedding band A13,0.010587383061647415,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A22,AlphaEarth embedding band A22,0.01058605033904314,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A41,AlphaEarth embedding band A41,0.010316266678273678,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A56,AlphaEarth embedding band A56,0.009837132878601551,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A53,AlphaEarth embedding band A53,0.009679784066975117,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A27,AlphaEarth embedding band A27,0.009503419511020184,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A37,AlphaEarth embedding band A37,0.009251728653907776,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A00,AlphaEarth embedding band A00,0.009208919480443,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A30,AlphaEarth embedding band A30,0.008963045664131641,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A36,AlphaEarth embedding band A36,0.008827285841107368,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A12,AlphaEarth embedding band A12,0.008580140769481659,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A23,AlphaEarth embedding band A23,0.008273371495306492,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A52,AlphaEarth embedding band A52,0.00807073526084423,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A57,AlphaEarth embedding band A57,0.00783184077590704,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A07,AlphaEarth embedding band A07,0.007631005719304085,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A40,AlphaEarth embedding band A40,0.007610416039824486,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A54,AlphaEarth embedding band A54,0.007511591073125601,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A49,AlphaEarth embedding band A49,0.007372505031526089,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A06,AlphaEarth embedding band A06,0.0071956501342356205,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A33,AlphaEarth embedding band A33,0.00704724807292223,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A43,AlphaEarth embedding band A43,0.006981289945542812,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A04,AlphaEarth embedding band A04,0.006936693098396063,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A59,AlphaEarth embedding band A59,0.006927927955985069,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A31,AlphaEarth embedding band A31,0.006845379713922739,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A62,AlphaEarth embedding band A62,0.006680972874164581,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A28,AlphaEarth embedding band A28,0.006478528957813978,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A35,AlphaEarth embedding band A35,0.006396941374987364,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A32,AlphaEarth embedding band A32,0.006122638005763292,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A63,AlphaEarth embedding band A63,0.005874520167708397,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A10,AlphaEarth embedding band A10,0.005266672465950251,alphaearth_only,AlphaEarth Embeddings,xgboost,XGBoost
A16,AlphaEarth embedding band A16,798.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A17,AlphaEarth embedding band A17,501.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A55,AlphaEarth embedding band A55,475.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A44,AlphaEarth embedding band A44,414.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A45,AlphaEarth embedding band A45,398.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A14,AlphaEarth embedding band A14,397.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A25,AlphaEarth embedding band A25,377.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A56,AlphaEarth embedding band A56,371.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A15,AlphaEarth embedding band A15,369.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A37,AlphaEarth embedding band A37,364.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A32,AlphaEarth embedding band A32,360.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A34,AlphaEarth embedding band A34,359.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A46,AlphaEarth embedding band A46,356.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A60,AlphaEarth embedding band A60,348.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A53,AlphaEarth embedding band A53,342.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A39,AlphaEarth embedding band A39,342.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A00,AlphaEarth embedding band A00,333.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A51,AlphaEarth embedding band A51,330.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A23,AlphaEarth embedding band A23,329.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A22,AlphaEarth embedding band A22,307.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A09,AlphaEarth embedding band A09,306.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A01,AlphaEarth embedding band A01,296.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A03,AlphaEarth embedding band A03,293.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A48,AlphaEarth embedding band A48,291.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A21,AlphaEarth embedding band A21,285.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A50,AlphaEarth embedding band A50,284.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A11,AlphaEarth embedding band A11,275.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A52,AlphaEarth embedding band A52,274.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A20,AlphaEarth embedding band A20,272.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A58,AlphaEarth embedding band A58,271.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A24,AlphaEarth embedding band A24,270.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A26,AlphaEarth embedding band A26,261.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A19,AlphaEarth embedding band A19,260.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A02,AlphaEarth embedding band A02,260.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A47,AlphaEarth embedding band A47,256.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A06,AlphaEarth embedding band A06,256.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A36,AlphaEarth embedding band A36,254.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A41,AlphaEarth embedding band A41,251.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A61,AlphaEarth embedding band A61,249.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A38,AlphaEarth embedding band A38,244.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A31,AlphaEarth embedding band A31,241.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A33,AlphaEarth embedding band A33,239.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A49,AlphaEarth embedding band A49,239.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A18,AlphaEarth embedding band A18,235.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A30,AlphaEarth embedding band A30,234.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A43,AlphaEarth embedding band A43,234.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A13,AlphaEarth embedding band A13,229.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A05,AlphaEarth embedding band A05,225.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A27,AlphaEarth embedding band A27,221.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A07,AlphaEarth embedding band A07,218.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A08,AlphaEarth embedding band A08,204.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A10,AlphaEarth embedding band A10,202.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A63,AlphaEarth embedding band A63,196.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A28,AlphaEarth embedding band A28,190.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A29,AlphaEarth embedding band A29,189.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A59,AlphaEarth embedding band A59,184.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A62,AlphaEarth embedding band A62,175.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A04,AlphaEarth embedding band A04,172.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A42,AlphaEarth embedding band A42,161.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A57,AlphaEarth embedding band A57,160.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A40,AlphaEarth embedding band A40,160.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A12,AlphaEarth embedding band A12,153.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A35,AlphaEarth embedding band A35,132.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
A54,AlphaEarth embedding band A54,129.0,alphaearth_only,AlphaEarth Embeddings,lightgbm,LightGBM
elevation_m,Elevation (m),2.8225626154317798,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A16,AlphaEarth embedding band A16,2.652261974993083,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A09,AlphaEarth embedding band A09,2.016984511437334,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A00,AlphaEarth embedding band A00,1.2793137546137268,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A18,AlphaEarth embedding band A18,1.272762388335677,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A34,AlphaEarth embedding band A34,1.2451143099252975,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A45,AlphaEarth embedding band A45,1.1553196122335374,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A01,AlphaEarth embedding band A01,1.1423860495290314,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A42,AlphaEarth embedding band A42,1.0921914816358647,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A25,AlphaEarth embedding band A25,1.0619091101627116,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A22,AlphaEarth embedding band A22,0.9271362288263096,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A36,AlphaEarth embedding band A36,0.9112755946431782,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A49,AlphaEarth embedding band A49,0.905963225586468,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A48,AlphaEarth embedding band A48,0.8958988510153054,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A55,AlphaEarth embedding band A55,0.8729891327556762,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A19,AlphaEarth embedding band A19,0.8625759322315166,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A56,AlphaEarth embedding band A56,0.8484125026188812,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A32,AlphaEarth embedding band A32,0.8184416629507938,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A54,AlphaEarth embedding band A54,0.8177794725078621,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A27,AlphaEarth embedding band A27,0.7923829720818436,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A31,AlphaEarth embedding band A31,0.7756818163647643,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A44,AlphaEarth embedding band A44,0.7575628986796652,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A52,AlphaEarth embedding band A52,0.6242104862550517,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A17,AlphaEarth embedding band A17,0.6199779604197182,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A05,AlphaEarth embedding band A05,0.6183235162268643,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A20,AlphaEarth embedding band A20,0.5878586347882006,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A03,AlphaEarth embedding band A03,0.5445891631999368,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A39,AlphaEarth embedding band A39,0.5426484102686697,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A11,AlphaEarth embedding band A11,0.535814376075221,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A51,AlphaEarth embedding band A51,0.5323632433690534,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A07,AlphaEarth embedding band A07,0.5214524335078895,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A12,AlphaEarth embedding band A12,0.4981571720133952,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A60,AlphaEarth embedding band A60,0.48354338972393063,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A38,AlphaEarth embedding band A38,0.47073772562956545,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A15,AlphaEarth embedding band A15,0.4584045879509256,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A61,AlphaEarth embedding band A61,0.4521129348022666,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A63,AlphaEarth embedding band A63,0.4479538729670438,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A23,AlphaEarth embedding band A23,0.40886826703555285,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A29,AlphaEarth embedding band A29,0.4058626859832262,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
aspect_deg,Aspect (degrees),0.3869477326758687,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A10,AlphaEarth embedding band A10,0.3588656472336988,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
rain_monsoon_total,Monsoon rainfall total,0.34423703236008196,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A26,AlphaEarth embedding band A26,0.3429165209405478,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A62,AlphaEarth embedding band A62,0.32358639685083773,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A21,AlphaEarth embedding band A21,0.30997152392386385,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A02,AlphaEarth embedding band A02,0.30951889775775543,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A06,AlphaEarth embedding band A06,0.30244457627371474,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A46,AlphaEarth embedding band A46,0.30102584334014965,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A53,AlphaEarth embedding band A53,0.24678554976396488,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A57,AlphaEarth embedding band A57,0.21092563525855934,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
ndvi_amplitude,NDVI amplitude,0.20948083857468128,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A13,AlphaEarth embedding band A13,0.18764705230256076,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A58,AlphaEarth embedding band A58,0.17610255667235467,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
modis_lc_type1,MODIS land-cover class,0.1728604958556716,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
lst_day_mean_c,Mean daytime LST (deg C),0.1567294325268175,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A41,AlphaEarth embedding band A41,0.13563358558276084,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A08,AlphaEarth embedding band A08,0.13031285904442566,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A14,AlphaEarth embedding band A14,0.11170457673673066,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A24,AlphaEarth embedding band A24,0.0762189808923162,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A37,AlphaEarth embedding band A37,0.07609061740120444,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
slope_deg,Slope (degrees),0.07367122719407627,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A28,AlphaEarth embedding band A28,0.06047253872900328,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A33,AlphaEarth embedding band A33,0.05964721759825115,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A47,AlphaEarth embedding band A47,0.0498072838473623,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A30,AlphaEarth embedding band A30,0.04357441851917863,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A40,AlphaEarth embedding band A40,0.0321017928498341,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A35,AlphaEarth embedding band A35,0.03087677337580461,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
ndvi_median,NDVI median,0.03083882616377581,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A43,AlphaEarth embedding band A43,0.03046012111670331,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
rain_max_1day,Maximum 1-day rainfall,0.01500131522946135,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A50,AlphaEarth embedding band A50,0.011654468888872822,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A59,AlphaEarth embedding band A59,0.006388586914066672,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A04,AlphaEarth embedding band A04,0.0013689340920920736,fused_reduced,Conventional + AlphaEarth Embeddings,logistic_l2,Logistic Regression (L2)
A16,AlphaEarth embedding band A16,0.10341205168228565,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A55,AlphaEarth embedding band A55,0.06784591690997482,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A15,AlphaEarth embedding band A15,0.04310998671207271,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A44,AlphaEarth embedding band A44,0.04282542315038478,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A14,AlphaEarth embedding band A14,0.03170223410719847,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
lst_day_mean_c,Mean daytime LST (deg C),0.0289350926289444,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A60,AlphaEarth embedding band A60,0.02779000157292787,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
elevation_m,Elevation (m),0.027363588610795356,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A34,AlphaEarth embedding band A34,0.025701296343883816,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A24,AlphaEarth embedding band A24,0.01842449225090562,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A09,AlphaEarth embedding band A09,0.018117006761875953,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A49,AlphaEarth embedding band A49,0.01742100549101696,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A17,AlphaEarth embedding band A17,0.01643956790886477,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A42,AlphaEarth embedding band A42,0.016067011386061304,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A08,AlphaEarth embedding band A08,0.015980377833362275,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A25,AlphaEarth embedding band A25,0.015030172559981455,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A57,AlphaEarth embedding band A57,0.014873753656889482,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A01,AlphaEarth embedding band A01,0.014715251965116428,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A02,AlphaEarth embedding band A02,0.014525635046582535,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A45,AlphaEarth embedding band A45,0.01426371075578713,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A03,AlphaEarth embedding band A03,0.01404097212390371,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A48,AlphaEarth embedding band A48,0.01384089100042023,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A58,AlphaEarth embedding band A58,0.013486710716351921,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
A47,AlphaEarth embedding band A47,0.012942771971455994,fused_reduced,Conventional + AlphaEarth Embeddings,random_forest,Random Forest
